|   # | Producto                      | Categoría           | Marca          | Presentación   | Stock | Mín. | Máx. | Costo | Precio | Proveedor       | Código/SKU | Ubicación      | Estado |
| --: | ----------------------------- | ------------------- | -------------- | -------------- | ----: | ---: | ---: | ----: | -----: | --------------- | ---------- | -------------- | ------ |
|   1 | Coca-Cola Original            | Refresco            | Coca-Cola      | 355 ml lata    |    85 |   20 |  150 |   $13 |    $20 | Coca-Cola FEMSA | REF-001    | Refrigerador 1 |        |
|   2 | Coca-Cola Original            | Refresco            | Coca-Cola      | 600 ml         |    72 |   20 |  120 |   $15 |    $24 | Coca-Cola FEMSA | REF-002    | Refrigerador 1 |        |
|   3 | Coca-Cola Original            | Refresco            | Coca-Cola      | 1.5 L          |    48 |   15 |   80 |   $24 |    $38 | Coca-Cola FEMSA | REF-003    | Almacén        |        |
|   4 | Coca-Cola Original            | Refresco            | Coca-Cola      | 2.5 L          |    35 |   10 |   60 |   $31 |    $48 | Coca-Cola FEMSA | REF-004    | Almacén        |        |
|   5 | Coca-Cola Sin Azúcar          | Refresco            | Coca-Cola      | 355 ml lata    |    63 |   20 |  120 |   $13 |    $20 | Coca-Cola FEMSA | REF-005    | Refrigerador 1 |        |
|   6 | Coca-Cola Sin Azúcar          | Refresco            | Coca-Cola      | 600 ml         |    51 |   15 |  100 |   $15 |    $24 | Coca-Cola FEMSA | REF-006    | Refrigerador 1 |        |
|   7 | Coca-Cola Light               | Refresco            | Coca-Cola      | 355 ml lata    |    42 |   15 |  100 |   $13 |    $20 | Coca-Cola FEMSA | REF-007    | Refrigerador 1 |        |
|   8 | Coca-Cola Cherry              | Refresco            | Coca-Cola      | 355 ml lata    |    29 |   10 |   80 |   $14 |    $22 | Coca-Cola FEMSA | REF-008    | Refrigerador 1 |        |
|   9 | Fanta Naranja                 | Refresco            | Fanta          | 355 ml lata    |    74 |   20 |  130 |   $12 |    $20 | Coca-Cola FEMSA | REF-009    | Refrigerador 1 |        |
|  10 | Fanta Naranja                 | Refresco            | Fanta          | 600 ml         |    56 |   20 |  100 |   $15 |    $24 | Coca-Cola FEMSA | REF-010    | Refrigerador 1 |        |
|  11 | Fanta Naranja                 | Refresco            | Fanta          | 2 L            |    31 |   10 |   60 |   $27 |    $42 | Coca-Cola FEMSA | REF-011    | Almacén        |        |
|  12 | Sprite                        | Refresco            | Sprite         | 355 ml lata    |    69 |   20 |  120 |   $12 |    $20 | Coca-Cola FEMSA | REF-012    | Refrigerador 1 |        |
|  13 | Sprite                        | Refresco            | Sprite         | 600 ml         |    62 |   20 |  120 |   $15 |    $24 | Coca-Cola FEMSA | REF-013    | Refrigerador 1 |        |
|  14 | Sprite                        | Refresco            | Sprite         | 2 L            |    27 |   10 |   60 |   $27 |    $42 | Coca-Cola FEMSA | REF-014    | Almacén        |        |
|  15 | Sidral Mundet                 | Refresco            | Mundet         | 355 ml lata    |    58 |   20 |  100 |   $12 |    $20 | Coca-Cola FEMSA | REF-015    | Refrigerador 1 |        |
|  16 | Sidral Mundet                 | Refresco            | Mundet         | 600 ml         |    47 |   15 |  100 |   $15 |    $24 | Coca-Cola FEMSA | REF-016    | Refrigerador 1 |        |
|  17 | Fresca                        | Refresco            | Fresca         | 355 ml lata    |    36 |   15 |   80 |   $12 |    $20 | Coca-Cola FEMSA | REF-017    | Refrigerador 1 |        |
|  18 | Manzanita Sol                 | Refresco            | Pepsi          | 355 ml lata    |    67 |   20 |  120 |   $12 |    $20 | PepsiCo         | REF-018    | Refrigerador 1 |        |
|  19 | Pepsi                         | Refresco            | Pepsi          | 355 ml lata    |    82 |   20 |  150 |   $12 |    $20 | PepsiCo         | REF-019    | Refrigerador 2 |        |
